id;Genus;Species;Variant;Name;protected;edibilityId
131;Craterellus;cornucopioides;(L:Fr) Pers.;Mrka trubača, mrtvačka truba, crna trubača, rog obilja;FALSE;7
132;Crepidotus;sp.;;Batrljica;FALSE;3
133;Crinipellis;scabella;;;FALSE;3
134;Cyathus;striatus;(Huds:Pers) Willdenow;Prugasta košarica, prugasti lončić, ptičje gnijezdo;FALSE;3
135;Cyphellopsis;anomala;(Pers.) Donk;-;FALSE;3
136;Cystoderma;amianthinum;;Smeđa hrapavica;FALSE;3
137;Dacrymyces;chrysospermus;Berk. & M.A. Curtis;Palmolika drhtalica;FALSE;3
138;Daedalea;quercina;(L:Fr) Fr;Hrastova raznocijevka;FALSE;3
139;Discina;gigas;(Krombh.) Eckblad;Golema pločarica;FALSE;3
140;Disciotis;venosa;(Pers:Fr) Arnault;Žilasta tavica;FALSE;4
141;Elaphomyces;muricatus;Fr.;Igličava jelen-gljiva, kratkošiljata jelen-gljiva;FALSE;4
142;Encoelia;fascicularis;(Alb. & Sch.)Karst.;-;FALSE;3
143;Encoelia;furfuracea;(Roth) P. Karst.;-;FALSE;3
144;Entoloma;clypeatum;(L.) Kummer;Šljivovača, šljivarka, trnčica, štitasta rudoliska, sivkasta šljivovača, šljivova gljiva;FALSE;7
145;Entoloma;hirtipes;(Schum:Fr) Moser;Dlakavonoga rudoliska, smrdljiva rudoliska;FALSE;3
146;Entoloma;icterinum;;;FALSE;3
147;Entoloma;sepium;(Noulet & Dassier) Richon & Roze;Bijela šljivovača, ograđena rudoliska;FALSE;7
148;Entoloma;sinuatum;(Bull:Fr) Kummer;Olovasta rudoliska, velika rudoliska;FALSE;2
149;Exidia;glandulosa;(Bull:Fr) Fr;Bradavičasta žljezdarica, žljezdolika drhtalica;FALSE;3
150;Exidia;recisa;;;FALSE;3
151;Faerberia;carbonaria;;;FALSE;3
152;Fistulina;hepatica;(Sch:Fr) With;Jetrenka, vukovo meso, jetrenjača, goveđi jezik, volovski jezik, jetrenica, volovska jetra;FALSE;5
153;Flammulina;velutipes;(Curt:Fr) Karsten;Zimska panjevčica, baršunasta panjevčica, zimska plamenjača;FALSE;8
154;Fomes;fomentarius;(L:Fr) Fr;Kresivna guba, kopitarka, bukova guba;FALSE;3
155;Fomitopsis;pinicola;(Swartz:Fr) Karsten;Obrubljena guba, smrekina kopitarka;FALSE;3
156;Fuligo;septica;(L.) F.H. Wigg.;Žuta sluznjača;FALSE;3
157;Ganoderma;lucidum;(Curt:Fr) Karsten;Hrastova sjajnica;FALSE;8
158;Geastrum;fornicatum;(Huds.) Hook.;Zategnuta zvjezdača;FALSE;3
159;Geastrum;quadrifidum;;;FALSE;3
160;Geastrum;triplex;Junghuhn;Troslojna zvjezdača, trostruka zvjezdača;FALSE;3
161;Geopora;sumneriana;(Cooke) M. Torre;Cedrova krunčica;FALSE;3
162;Geopyxis;carbonaria;(Alb. & Sch.) Sacc.;Ugljenski pehar;FALSE;3
163;Gomphidius;glutinosus;(Sch:fr) Fr;Veliki slinar;FALSE;6
164;Gomphidius;roseus;;;TRUE;5
165;Grifola;frondosa;(Dicks.) Gray;Zečarka, zec-gljiva, klepetača, zajčeki, veliki žbunac, dedik, sivi žbunac;FALSE;8
166;Grifola;umbellata;(Pers.) Pilat;Jelenovo uho, hrastov žbunac, sarvašica, jelenček, jelenak, gljivice;TRUE;6
167;Guepinia;helvelloides;;;FALSE;5
168;Gymnopilus;spectabilis;(Fr:Fr) Smith;Divna plamenka, Čudesna razornica;FALSE;2
169;Gyromitra;esculenta;(Pers:Fr) Fr;Proljetni hrčak, rani hrčak, proljetna moždanica, lažni smrčak;TRUE;2
170;Gyromitra;infula;;;FALSE;2
171;Gyroporus;castaneus;(Bull:Fr) Quelet;Kestenjasti vrganj, kestenov vrganj, kestenov žljebovac, maronka;FALSE;6
172;Hebeloma;sinapizans;(Paulet) Gillet;Rotkvičava tupavica, gorušičina plavulja;FALSE;2
173;Helvella;acetabulum;(L.) Quel.;Proljetna rebrašica;FALSE;3
174;Helvella;crispa;(Scop:Fr) Fr;Jesenski hrčak, jesenji hrčak, jesenja jamičarka;FALSE;4
175;Helvella;elastica;;;FALSE;3
176;Helvella;leucomelaena;(Pers.) Nannf.;Crnobijela rebrašica;FALSE;3
177;Helvella;spadicea;Schaeff.;Crnobijeli hrčak;TRUE;3
178;Hemimycena;lactea;;;FALSE;3
179;Hericium;cirrhatum;(Pers.) Nikol.;Kovrčasti igličar, bodljikavi igličar;FALSE;5
180;Humaria;hemisphaerica;;;FALSE;3
181;Hydnellum;compactum;(Pers.) P. Karst.;Nezgrapna ježevica, zbijena plutovka;FALSE;3
182;Hydnellum;peckii;;;FALSE;3
183;Hydnum;albidum;;;FALSE;5
184;Hydnum;repandum;L:Fr;Prosenjak, migač, žuta ježevica;FALSE;6
185;Hygrocybe;calyptriformis;;Ružičasta (ljubičasta) vlažnica;TRUE;5
186;Hygrocybe;conica;(Scop:Fr) Kummer;Stožasta vlažnica, konična vlažnica, stožasta staklača, stožarka;FALSE;3
187;Hygrocybe;pratensis;(Fr.) Murrill;Livadna zlatača,livadna sočnica;FALSE;7
188;Hygrocybe;punicea(Fr.:Fr.)Kummer;;Velika crvena vlaznica,Crvenoglava socnica;TRUE;7
189;Hygrocybe;virginea;(Wulfen) Orton & Watling;Djevičanska vlažnica, djevičanska sočnica, snježna sočnica;FALSE;5
190;Hygrocybe_sp;(splendidissima/aurantiosplendens);;-;FALSE;5
