Id;Varaint;Name;zasticena;vrsta;jestivost;slika
201;Fr.;Suha puževica, tvrda puževica;;penarius;7;/slike/gljive/Hygrophorus _penarius_ Fr..jpg
202;;;;persicolor;3;/slike/gljive/Hygrophorus_persicolor.jpg
203;Heim;Pjesnička puževica;1;poetarum;6;/slike/gljive/Hygrophorus _poetarum _Heim.jpg
204;(Sch:Fr) Quelet;Medenka, medena puževica, crvenomrljasta puževica, voštana puževica, pjegava puževica;;russula;6;/slike/gljive/Hygrophorus _russula _SchFr Quelet.jpg
205;(Huds:Fr) Kummer;Sumporača, prava sumporača, obična sumporača;;fasciculare;2;/slike/gljive/Hypholoma _fasciculare _HudsFr Kummer.jpg
206;(Fr) Quelet;Crvenkasta panjevčica, crvenkasta sumporača, ciglastocrvena sumporača;;sublateritium;4;/slike/gljive/Hypholoma _sublateritium _Fr Quelet.jpg
207;(Alb. & Sch.) Tul.;-;;rosellus;3;/slike/gljive/Hypomyces _rosellus _Alb.  Sch. Tul..jpg
208;(Pers.) J. Kickx f.;-;;fragiforme;3;/slike/gljive/Hypoxylon _fragiforme _Pers. J. Kickx f..jpg
209;Quelet;Zvjezdastosporna cjepača, zvjezdasta cjepača;;asterospora;2;/slike/gljive/Inocybe _asterospora _Quelet.jpg
210;A. Blytt;Crvenkasta cjepača, Patouillardova cjepača;;erubescens;1;/slike/gljive/Inocybe _erubescens _A. Blytt.jpg
211;(Pers:Fr) Murr.;Hrastov kopitar;;dryadeus;3;/slike/gljive/Inonotus _dryadeus _PersFr Murr..jpg
212;;;;hispidus;3;/slike/gljive/Inonotus_hispidus.jpg
